name,team,minutes_any,minutes_60,goals,assists,id_2026
Alfie Lloyd,QPR,27,4,2,0,NA
Ben Lloyd,Swansea City,2,0,0,0,NA
George Long,Norwich City,9,8,0,0,NA
Sam Long,Oxford United,24,18,1,1,NA
Ryan Longman,Hull City,9,6,1,0,NA
Imran Louza,Watford,33,30,2,5,NA
Jamal Lowe,Sheffield Weds,24,12,3,2,NA
Max Lowe,Sheffield Weds,34,31,0,0,NA
Nathan Lowe,Stoke City,10,5,1,0,NA
Lucas,Burnley,34,32,0,2,NA
Nicolas Madsen,QPR,31,20,3,3,NA
Lucien Mahovo,Norwich City,8,6,0,0,NA
Josh Maja,West Brom,26,26,12,2,NA
Christ Makosso,Luton Town,13,12,0,1,NA
Million Manhoef,Stoke City,34,28,5,5,NA
Sivert Mannsverk,Cardiff City,14,12,0,1,NA
Benson Manuel,Burnley,3,0,1,0,NA
Emiliano Marcondes,Norwich City,33,25,5,6,NA
Ephron Mason-Clark,Coventry City,30,17,5,5,NA
Han-Noah Massengo,Burnley,8,1,0,1,NA
Zavier Massiah,Watford,4,0,0,0,NA
Eliot Matazo,Hull City,6,4,1,0,NA
Alex Matos,Oxford United,20,10,0,0,NA
Hayden Matthews,Portsmouth,6,3,0,0,NA
Eliezer Mayenda,Sunderland,37,22,8,5,NA
Fally Mayulu,Bristol City,15,3,2,0,NA
Sam McCallum,Sheffield Utd,33,9,2,0,NA
Alistair McCann,Preston,29,28,1,0,NA
Ruairi Mcconville,Norwich City,8,3,0,0,NA
George McCormick,Middlesbrough,1,0,0,0,NA
Ross McCrorie,Bristol City,23,18,5,0,NA
Josh McEachran,Oxford United,12,6,0,1,NA
Kyle McFadzean,Blackburn,1,0,0,0,NA
Riley McGree,Middlesbrough,17,11,1,5,NA
Marcus McGuane,Bristol City,21,11,0,0,NA
Mark McGuinness,Luton Town,43,41,3,3,NA
Tom McIntyre,Portsmouth,12,11,0,0,NA
Kenny McLean,Norwich City,34,33,0,4,NA
Sean McLoughlin,Hull City,37,37,0,1,NA
Paddy McNair,West Brom,2,2,0,0,NA
Luke McNally,Bristol City,26,26,3,1,NA
Luke McNally,Burnley,2,0,0,0,NA
Dan McNamara,Millwall,13,7,0,0,NA
Charlie McNeill,Sheffield Weds,4,0,0,0,NA
Jayden Meghoma,Preston,12,11,0,1,118
Marvin Mehlem,Hull City,16,9,0,3,NA
Anis Mehmeti,Bristol City,42,29,12,1,NA
Yakou Méïte,Cardiff City,34,11,3,0,NA
Hannibal Mejbri,Burnley,37,23,1,4,207
Nathaniel Mendez-Laing,Derby County,41,26,3,4,NA
Teden Mengi,Luton Town,20,17,1,1,NA
Chris Mepham,Sunderland,38,37,1,0,79
Illan Meslier,Leeds United,39,39,0,0,339
Liam Millar,Hull City,11,6,1,2,NA
Stanley Mills,Oxford United,11,3,1,0,NA
Yang Minhyeok,QPR,14,8,2,1,NA
Billy Mitchell,Millwall,19,9,0,0,NA
Idris El Mizouni,Oxford United,28,12,1,2,NA
Ryan Mmaee,Stoke City,3,1,0,0,NA
Jayson Molumby,West Brom,37,30,4,1,NA
Kristi Montgomery,Blackburn,3,1,0,0,NA
Elliott Moore,Oxford United,26,24,1,2,NA
Kieffer Moore,Sheffield Utd,27,18,5,0,NA
Simon Moore,Sunderland,4,4,0,0,529
Andrew Moran,Stoke City,35,26,4,3,177
Kieran Morgan,QPR,30,19,1,2,NA
Aidan Morris,Middlesbrough,35,33,0,2,NA
Carlton Morris,Luton Town,41,37,8,2,NA
James Morris,Watford,18,13,0,0,NA
Elijah Morrison,Bristol City,3,0,0,0,NA
Liam Morrison,QPR,19,14,0,0,NA
Victor Moses,Luton Town,18,12,1,0,NA
Alex Mowatt,West Brom,43,39,7,2,NA
Owen Moxon,Portsmouth,12,2,0,0,NA
Bali Mumba,Plymouth Argyle,43,37,0,2,NA
Romaine Mundle,Sunderland,22,17,5,2,548
Josh Murphy,Portsmouth,42,40,7,14,NA
Anthony Musaba,Sheffield Weds,29,12,3,6,NA
Elliot Myles,Norwich City,3,0,0,0,NA
Amin Nabizada,Watford,1,0,0,0,NA
Kal Naismith,Bristol City,6,2,0,0,NA
Kal Naismith,Luton Town,10,5,0,0,NA
Marvelous Nakamba,Luton Town,21,15,0,0,NA
Paul Nardi,QPR,45,45,0,0,NA
Kyle Naughton,Swansea City,23,9,0,0,NA
Camiel Neghli,Millwall,4,2,1,0,NA
Dan Neil,Sunderland,44,44,2,3,549
Benjamin Nelson,Oxford United,17,16,1,0,NA
Curtis Nelson,Derby County,27,27,2,1,NA
Zack Nelson,Luton Town,21,7,0,1,NA
Perry Ng,Cardiff City,35,31,1,1,NA
Jeremy Ngakia,Watford,29,23,1,0,NA
Kevin Nisbet,Millwall,1,0,0,0,NA
Lasse Nordås,Luton Town,10,2,0,1,NA
Casper de Norre,Millwall,46,44,3,4,NA
Rhys Norrington-Davies,Sheffield Utd,14,2,0,0,NA
Will Norris,Portsmouth,8,8,0,0,NA
Marcelino Núñez,Norwich City,32,27,6,4,NA
Tanatswa Nyakuhwa,Cardiff City,1,0,0,0,NA
Ryan Nyambe,Derby County,17,14,0,0,NA
Lewis O'Brien,Swansea City,16,16,1,0,520
Gatlin O'Donkor,Oxford United,1,0,0,0,NA
Callum O'Dowda,Cardiff City,42,41,2,3,NA
Callum O'Hare,Sheffield Utd,44,38,2,6,NA
Max O'Leary,Bristol City,46,46,0,0,NA
Mark O'Mahony,Portsmouth,13,5,3,0,NA
Luke O'Nien,Sunderland,45,44,3,1,539
Dara O'Shea,Burnley,2,2,1,0,NA
Michael Obafemi,Plymouth Argyle,29,14,2,0,219
Wilson Odobert,Burnley,1,1,1,0,588
Chiedozie Ogbene,Luton Town,3,3,0,0,NA
Nathanael Ogbeta,Plymouth Argyle,17,9,1,1,NA
Angelo Ogbonna,Watford,6,5,0,0,NA
Connor Ogilvie,Portsmouth,45,45,4,1,NA
Yuki Ohashi,Blackburn,36,26,9,3,NA
Jeppe Okkels,Preston,7,1,0,0,NA
