name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Vladimír Coufal,516,6,2024-09-28T14:00:00Z,0,0,0,West Ham,NA
Marc Cucurella Saseta,163,6,2024-09-28T14:00:00Z,0,0,69,Chelsea,224
Toti António Gomes,567,6,2024-09-28T16:30:00Z,0,0,90,Wolves,637
Cristian Romero,498,6,2024-09-29T15:30:00Z,0,0,90,Spurs,569
Dan Burn,395,6,2024-09-28T11:30:00Z,0,0,90,Newcastle,476
Destiny Udogie,505,6,2024-09-29T15:30:00Z,0,0,45,Spurs,574
Jordan Pickford,235,6,2024-09-28T14:00:00Z,0,0,90,Everton,287
Boubacar Traoré,534,6,2024-09-28T16:30:00Z,0,0,0,Wolves,649
Stefan Bajčetić Maquieira,312,6,2024-09-28T16:30:00Z,0,0,0,Liverpool,393
Mikkel Damsgaard,89,6,2024-09-28T14:00:00Z,0,0,90,Brentford,121
Luis Díaz,327,6,2024-09-28T16:30:00Z,0,0,72,Liverpool,383
Enzo Barrenechea,30,6,2024-09-29T13:00:00Z,0,0,0,Aston Villa,56
Carlos Vinícius Alves Morais,258,6,2024-09-28T14:00:00Z,0,0,0,Fulham,NA
Pervis Estupiñán,122,6,2024-09-28T14:00:00Z,0,0,90,Brighton,147
James Milner,134,6,2024-09-28T14:00:00Z,0,0,0,Brighton,170
Ryan Trevitt,602,6,2024-09-28T14:00:00Z,0,0,0,Brentford,134
Enzo Fernández,168,6,2024-09-28T14:00:00Z,0,0,78,Chelsea,237
Luke Shaw,387,6,2024-09-29T15:30:00Z,0,0,0,Man Utd,443
Fábio Freitas Gouveia Carvalho,314,6,2024-09-28T14:00:00Z,0,1,84,Brentford,123
Jérémy Doku,346,6,2024-09-28T11:30:00Z,0,0,9,Man City,418
Marcus Bettinelli,155,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,401
Alisson Ramses Becker,310,6,2024-09-28T16:30:00Z,0,0,90,Liverpool,366
Aaron Hickey,93,6,2024-09-28T14:00:00Z,0,0,0,Brentford,116
Vítezslav Jaros,660,6,2024-09-28T16:30:00Z,0,0,0,Liverpool,NA
Alex McCarthy,469,6,2024-09-30T19:00:00Z,0,0,0,Southampton,NA
Neal Maupay,229,6,2024-09-28T14:00:00Z,0,0,0,Everton,NA
Steven Benda,242,6,2024-09-28T14:00:00Z,0,0,0,Fulham,315
Dean Henderson,201,6,2024-09-28T14:00:00Z,0,0,90,Crystal Palace,253
Ki-Jana Hoever,552,6,2024-09-28T16:30:00Z,0,0,0,Wolves,638
Cheick Doucouré,193,6,2024-09-28T14:00:00Z,0,0,0,Crystal Palace,268
Scott McTominay,381,6,2024-09-29T15:30:00Z,0,0,0,Man Utd,NA
Wilfred Ndidi,300,6,2024-09-28T14:00:00Z,0,1,90,Leicester,NA
Maxence Lacroix,650,6,2024-09-28T14:00:00Z,0,1,90,Crystal Palace,257
